::1 - - [12/Sep/2020:21:32:56 +0000] "GET /api/veiculos HTTP/1.1" 200 - "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:21:32:58 +0000] "GET /api/veiculos HTTP/1.1" 200 - "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:21:33:23 +0000] "GET /api/veiculos HTTP/1.1" 200 214 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:21:33:31 +0000] "PUT /api/veiculos HTTP/1.1" 200 106 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:21:33:35 +0000] "GET /api/veiculos HTTP/1.1" 200 215 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:21:46:26 +0000] "POST /api/veiculos HTTP/1.1" 404 152 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:21:46:51 +0000] "POST /api/veiculos HTTP/1.1" 500 1385 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:21:48:09 +0000] "POST /api/veiculos HTTP/1.1" 201 99 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:21:48:28 +0000] "POST /api/veiculos HTTP/1.1" 201 99 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:21:48:32 +0000] "GET /api/veiculos HTTP/1.1" 200 215 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:21:49:00 +0000] "PUT /api/veiculos/1 HTTP/1.1" 404 39 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:21:50:39 +0000] "PUT /api/veiculos/1 HTTP/1.1" 404 39 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:21:51:07 +0000] "PUT /api/veiculos/1 HTTP/1.1" 404 39 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:21:52:14 +0000] "PUT /api/veiculos/1 HTTP/1.1" 404 39 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:21:53:23 +0000] "PUT /api/veiculos/1 HTTP/1.1" 404 39 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:21:53:45 +0000] "PUT /api/veiculos/1 HTTP/1.1" 200 111 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:21:53:54 +0000] "GET /api/veiculos HTTP/1.1" 200 220 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:21:55:28 +0000] "GET /api/veiculos HTTP/1.1" 200 220 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:21:55:54 +0000] "PATCH /api/veiculos/1 HTTP/1.1" 500 142 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:21:56:20 +0000] "PATCH /api/veiculos/1 HTTP/1.1" 500 142 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:21:56:55 +0000] "PATCH /api/veiculos/1 HTTP/1.1" 500 142 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:21:57:42 +0000] "PATCH /api/veiculos/1 HTTP/1.1" - - "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:22:08:05 +0000] "PATCH /api/veiculos/1 HTTP/1.1" 200 68 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:22:08:19 +0000] "GET /api/veiculos HTTP/1.1" 200 444 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:22:09:31 +0000] "POST /api/veiculos HTTP/1.1" 201 104 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:22:09:32 +0000] "POST /api/veiculos HTTP/1.1" 201 104 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:22:09:32 +0000] "POST /api/veiculos HTTP/1.1" 201 104 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:22:09:33 +0000] "POST /api/veiculos HTTP/1.1" 201 104 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:22:09:35 +0000] "GET /api/veiculos HTTP/1.1" 200 449 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:22:10:08 +0000] "PATCH /api/veiculos/1 HTTP/1.1" 200 62 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:22:10:27 +0000] "PATCH /api/veiculos/1 HTTP/1.1" 200 63 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:22:11:04 +0000] "PATCH /api/veiculos/1 HTTP/1.1" 200 112 "-" "insomnia/2020.3.3"
::1 - - [12/Sep/2020:22:11:17 +0000] "PUT /api/veiculos/1 HTTP/1.1" 500 142 "-" "insomnia/2020.3.3"
::ffff:127.0.0.1 - - [13/Sep/2020:14:18:13 +0000] "GET /api/veiculos HTTP/1.1" 200 2 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [13/Sep/2020:14:22:12 +0000] "GET /api/veiculos HTTP/1.1" 200 2 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [13/Sep/2020:14:22:12 +0000] "POST /api/veiculos HTTP/1.1" 201 109 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [13/Sep/2020:14:27:06 +0000] "GET /api/veiculos HTTP/1.1" 200 2 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [13/Sep/2020:14:29:38 +0000] "POST /api/veiculos HTTP/1.1" 201 109 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [13/Sep/2020:14:38:37 +0000] "GET /api/veiculos HTTP/1.1" 200 2 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [13/Sep/2020:14:39:05 +0000] "POST /api/veiculos HTTP/1.1" 201 109 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [13/Sep/2020:14:39:43 +0000] "GET /api/veiculos HTTP/1.1" 200 2 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [13/Sep/2020:14:39:43 +0000] "POST /api/veiculos HTTP/1.1" 201 116 "-" "node-superagent/3.8.3"
